model,task,learning_index,convergence_trial,asymptotic_performance,sample_efficiency,wall_time_min
cadex,T1_ClassicalConditioning,0.9865,9,1.0000,1.0000,3.7
cadex,T2_PatternCompletion,0.6940,9,0.6000,0.8800,1.5
cadex,T3_SequencePrediction,0.9730,9,1.0000,1.0000,3.7
cadex,T4_IntervalTiming,0.7166,9,0.5717,0.7438,8.1
cadex,T5_DelayMatchToSample,0.6370,37,0.5750,0.5250,7.6
cadex,T6_NBack,0.8750,47,0.9375,0.7075,9.5
lif,T1_ClassicalConditioning,0.9865,9,1.0000,1.0000,2.9
lif,T2_PatternCompletion,0.1400,9,0.2000,0.7333,1.2
lif,T3_SequencePrediction,0.9730,9,1.0000,1.0000,2.8
lif,T4_IntervalTiming,0.4942,9,0.2150,0.5233,5.3
lif,T5_DelayMatchToSample,0.5020,37,0.3250,0.4750,5.8
lif,T6_NBack,0.8198,9,0.7250,0.8200,7.0
lsm,T1_ClassicalConditioning,0.4365,9,0.0000,0.7500,2.1
lsm,T2_PatternCompletion,0.1900,9,0.2000,0.7333,0.9
lsm,T3_SequencePrediction,0.0000,9,0.0000,0.6667,2.1
lsm,T4_IntervalTiming,0.4564,98,0.5317,0.4328,5.4
lsm,T5_DelayMatchToSample,0.5020,37,0.3250,0.4750,4.3
lsm,T6_NBack,0.7840,16,0.7250,0.6675,5.4
