model,task,learning_index,convergence_trial,asymptotic_performance,sample_efficiency,wall_time_min
cadex,T1_ClassicalConditioning,0.9865,9,1.0000,1.0000,3.6
cadex,T2_PatternCompletion,0.6940,9,0.6000,0.8800,1.4
cadex,T3_SequencePrediction,0.9730,9,1.0000,1.0000,3.5
cadex,T4_IntervalTiming,0.4788,13,0.2150,0.4863,8.4
cadex,T5_DelayMatchToSample,0.6370,37,0.5750,0.5250,7.5
cadex,T6_NBack,0.8750,47,0.9375,0.7075,9.6
lif,T1_ClassicalConditioning,0.9865,9,1.0000,1.0000,3.2
lif,T2_PatternCompletion,0.7240,9,0.5667,0.8800,1.3
lif,T3_SequencePrediction,0.0000,9,0.0000,0.6667,3.3
lif,T4_IntervalTiming,0.6861,15,0.5917,0.6012,5.8
lif,T5_DelayMatchToSample,0.5020,37,0.3250,0.4750,7.1
lif,T6_NBack,0.8198,9,0.7250,0.8200,8.8
